"Year","GC","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C14","C15"
"1875","0","0","0","0","0","0","0","1","1","0","0","0","1","0"
"1876","2","0","0","0","1","0","0","0","0","0","0","0","1","1"
"1877","2","0","0","0","0","0","1","1","0","0","1","0","2","0"
"1878","1","2","2","1","1","0","0","0","0","0","1","0","1","0"
"1879","0","0","0","1","1","2","2","0","1","0","0","2","1","0"
"1880","0","3","2","1","1","1","0","0","0","2","1","4","3","0"
"1881","1","0","0","2","1","0","0","1","0","1","0","0","0","0"
"1882","1","2","0","0","0","0","1","0","1","1","2","1","4","1"
"1883","0","0","1","2","0","1","2","1","0","1","0","3","0","0"
"1884","3","0","1","0","0","0","0","1","0","0","2","0","1","1"
"1885","0","0","0","0","0","0","1","0","0","2","0","1","0","1"
"1886","2","1","0","0","1","1","1","0","0","1","0","1","3","0"
"1887","1","1","2","1","0","0","3","2","1","1","0","1","2","0"
"1888","0","1","1","0","0","1","1","0","0","0","0","1","1","0"
"1889","0","0","1","1","0","1","1","0","0","1","2","2","0","2"
"1890","1","2","0","2","0","1","1","2","0","2","1","1","2","2"
"1891","0","0","0","1","1","1","0","1","1","0","3","3","1","0"
"1892","1","3","2","0","1","1","3","0","1","1","0","1","1","0"
"1893","0","1","0","0","0","1","0","2","0","0","1","3","0","0"
"1894","1","0","0","0","0","0","0","0","1","0","1","1","0","0"